director,movie,new_director
Harry Baweja,Love Story 2050,No
Sanamjit Talwar,Dishkiyaoon,Yes
Rajiv S. Ruia,My Friend Ganesha 2,No
Nila Madhab Panda,I Am Kalam,Yes
Raj Purohit,Jigariyaa,No
Rakesh Omprakash Mehra,Mirzya,No
Lawrence D'Souza,Sanam Teri Kasam,No
Gul Bahar Singh,Ek Thi Rani Aisi Bhi,Yes
Harish Sharma,2 Nights In Soul Valley,Yes
Divya Khosla,Yaariyan,Yes
Sattwik Mohanty,Ranchi Diaries,Yes
Sanjeev Reddy,Login,Yes
Amol Shetge,Rain,No
Anant Mahadevan,The Xpose,No
Ishaan Trivedi,Radio,No
Pooja Bhatt,Kajraare,No
Satish Kaushik,Karzzzz,No
Shawn Arranha,Teraa Surroor,No
Swapna Joshi,Damadamm!,Yes
Vijay Taneja,Aap Kaa Surroor,Yes
C.M. Jain,Www.Sheetal Bhabhi.com,Yes
Shankar Mondal,Shaabash! You Can Do It!,Yes
G. Venugopal,5ters: Castle of Dark Master,Yes
Faisal Saif,Jigyaasa,Yes
Anurag Basu,Kites,No
Ashutosh Gowariker,Jodhaa Akbar,No
Ashutosh Gowariker,Mohenjo Daro,No
Karan Malhotra,Agneepath,Yes
Rakesh Roshan,Krrish,No
Rakesh Roshan,Krrish 3,No
Sanjay Gadhvi,Dhoom 2,No
Sanjay Gupta,Kaabil,No
Sanjay Leela Bhansali,Guzaarish,No
Siddharth Anand,Bang Bang,No
Zoya Akhtar,Zindagi Na Milegi Dobara,No
Srinivas Sunderrajan,Greater Elephant,Yes
Rajesh Bachchani,Shree,Yes
Hridhay Sharma,Chaska - An Addiction,Yes
Joy Augustine,Aishwarya,No
Manish Tiwary,Dil Dosti Etc,Yes
Prawal Raman,404,No
Kishan Shah,Bhookh - The Hunger Of Body,No
Abbas Tyrewala,Jaane Tu... Ya Jaane Na,Yes
Abhinay Deo,Delhi Belly,Yes
Ali Abbas Zafar,Mere Brother Ki Dulhan,Yes
Danish Aslam,Break Ke Baad,Yes
Nikhil Advani,Katti Batti,No
Punit Malhotra,I Hate Luv Storys,Yes
Punit Malhotra,Gori Tere Pyaar Mein,No
Sanjay Gadhvi,Kidnap,No
Vishal Bhardwaj,Matru Ki Bijlee Ka Mandola,No
Suresh K. Goswami,Ziyarat,Yes
Anurag Basu,Life In A Metro,No
Himanshu Brahmbhatt,Rog,No
Kaushik Roy,Apna Asmaan,Yes
Meghna Gulzar,Talvar,No
Priyadarshan,Billu,No
Saket Chaudhary,Hindi Medium,No
Sudhir Mishra,Yeh Saali Zindagi,No
Tanuja Chandra,Qarib Qarib Singlle,No
Tigmanshu Dhulia,Paan Singh Tomar,No
Marlon Rodrigues,C U At 9,Yes
Lalit Marathe,Shabri,Yes
Shankhadeep,Aashiqui.in,Yes
Iqbal Ali,Ab To Jaago,No
Raj Purohit,Sixteen,Yes
Santosh Gupta,Kaand - Black Scandal,No
Ram Gopal Verma,Bhoot Returns,No
Anand Balraj,Daal Mein Kuch Kaala Hai!,Yes
Anand L. Rai,Thodi Life Thoda Magic,No
Deepak Balraj Vij,Maalik Ek,No
Dilip Shankar,Married To America,No
Himanshu Brahmbhatt,Musaa - The Most Wanted,No
Jaidev Chakravorty,We R Friends,Yes
Japinder Kaur Baweja,Dilliwali Zaalim Girlfriend,Yes
Kittu Saluja,Bhoot And Friends,No
Mahesh Vaijnath Doijode,Kahin Hai Mera Pyar,Yes
Milind Swamy,Hum Do Anjaane,No
Mukesh Saigal,Bhoot Unkle,Yes
Partho Ghosh,Ek Second... Jo Zindagi Badal De?,No
Rakesh Kakaria,Vidyaarthi,No
Rohit Kaushik,Mera Dil Leke Dekkho,Yes
Shashi Pritam,Kitkit + Cricket = Kirkit,Yes
Priyadarshan,Rangrezz,No
Remo D'Souza,F.A.L.T.U,Yes
Sanjay Gadhvi,Ajab Gazabb Love,No
Syed Ahmed Afzal,Youngistaan,Yes
Vinod Mukhi,Www.Love.com,Yes
Rajeev Virani,My Bollywood Bride,Yes
Rakesh Jain,Ye Stupid Pyar,Yes
Ashvin Kumar,The Forest,Yes
Jayabrato Chatterjee,Love Songs,Yes
